Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
1181,"1512732","SIMON ELECTRIC INTERNATIONAL GROUP LIMITED","西蒙電氣國際集團有限公司","Company Registration Number 1512732 Limited","公司註冊編號 1512732 有限公司"," 08-12-2011"
1182,"1649903","SIMONS ELECTRIC (CHINA) LIMITED","西門子電器(中國)有限公司","Company Registration Number 1649903 Limited","公司註冊編號 1649903 有限公司"," 10-02-2012"
1183,"1574996","SIMXENS ELECTRIC HOLDING LIMITED","西門子電氣股份有限公司","Company Registration Number 1574996 Limited","公司註冊編號 1574996 有限公司"," 20-12-2011"
1184,"1661643","SINAIDE .TY (CHINA) ELECTRIC GROUP LIMITED","施耐德．通用(中國)電氣集團有限公司","Company Registration Number 1661643 Limited","公司註冊編號 1661643 有限公司"," 15-10-2012"
1185,"2331096","SINGAPORE JIASHIDE INT'L AUCTION CO., LIMITED","新加坡佳士得國際拍賣有限公司","Company Registration Number 2331096 Limited","公司註冊編號 2331096 有限公司"," 29-06-2016"
1186,"2116722","SINGAPORE SIMON ELECTRIC CO., LIMITED","新加坡西蒙電氣有限公司","Company Registration Number 2116722 Limited","公司註冊編號 2116722 有限公司"," 22-06-2015"
1187,"1157816","SINO CHAMPION INVESTMENT LIMITED","中昌投資有限公司","SINO CHAMPION INVESTMENT LIMITED","公司註冊編號 1157816 有限公司"," 04-05-2016"
1188,"1976764","SINOCHEM GROUP GANGFENG PLASTICS CO., LIMITED","中化集團港豐塑膠有限公司","Company Registration Number 1976764 Limited","公司註冊編號 1976764 有限公司"," 08-05-2014"
1189,"1887749","SINOTRUK HOWO VEHICLE CO., LIMITED","中國重汽豪沃專用車有限公司","Company Registration Number 1887749 Limited","公司註冊編號 1887749 有限公司"," 20-05-2014"
1190,"1907147","SINOTRUK LUBRICATING OIL (HONG KONG) CO., LIMITED","中國重汽潤滑油(香港)有限公司","Company Registration Number 1907147 Limited","公司註冊編號 1907147 有限公司"," 24-06-2014"
1191,"2025674","SITONGSONGXIA LIGHTING TECHNOLOGY CO., LIMITED","四通松下照明科技有限公司","SITONGSONGXIA LIGHTING TECHNOLOGY CO., LIMITED","公司註冊編號 2025674 有限公司"," 08-12-2014"
1192,"1247921","SKYFORD CREATION LIMITED","天豐創建有限公司","SKYFORD CREATION LIMITED","公司註冊編號 1247921 有限公司"," 23-05-2016"
1193,"1576171","SMEON INTERNATIONAL ELECTRICIAN (BARCELONA) LIMITED","西蒙國際電工(巴塞羅那)有限公司","Company Registration Number 1576171 Limited","公司註冊編號 1576171 有限公司"," 07-05-2012"
1194,"1647182","SMITH HEAT TECHNOLOGY GROUP CO., LIMITED","史密斯熱能科技集團有限公司","Company Registration Number 1647182 Limited","公司註冊編號 1647182 有限公司"," 11-05-2017"
1195,"1643294","SNEDR ELECRRIC HOLDING LIMITED","施耐德電氣控股有限公司","Company Registration Number 1643294 Limited","公司註冊編號 1643294 有限公司"," 30-08-2012"
1196,"1664083","SOMNOPRO GROUP LIMITED","穗寶集團有限公司","Company Registration Number 1664083 Limited","公司註冊編號 1664083 有限公司"," 24-06-2015"
1197,"1581044","SONGXIA APPLIANCES DEVELOPMENT LIMITED","松下電器發展有限公司","SONGXIA APPLIANCES DEVELOPMENT LIMITED","公司註冊編號 1581044 有限公司"," 20-03-2012"
1198,"1407833","SONGXIA ELECTRICAL (GUANGDONG) CO., LIMITED","松下電器(廣東)有限公司","SONGXIA ELECTRICAL (GUANGDONG) CO., LIMITED","公司註冊編號 1407833 有限公司"," 01-11-2011"
1199,"1604937","SONGXIA ELECTRICAL (SHANGHAI) NEW ENERGY CO., LIMITED","松下電器(上海)新能源有限公司","SONGXIA ELECTRICAL (SHANGHAI) NEW ENERGY CO., LIMITED","公司註冊編號 1604937 有限公司"," 20-03-2012"
1200,"1743354","SONGXIA INT'L LIGHTING ELECTRIC APPLIANCE (ASIA) HOLDING LIMITED","松下國際照明電器(亞洲)股份有限公司","SONGXIA INT'L LIGHTING ELECTRIC APPLIANCE (ASIA) HOLDING LIMITED","公司註冊編號 1743354 有限公司"," 23-01-2013"
1201,"1516027","SONGXIA KITCHEN & BATH ELECTRICAL HOLDINGS GROUP (CHINA) CO., LIMITED","松下廚衛電器控股集團(中國)有限公司","SONGXIA KITCHEN & BATH ELECTRICAL HOLDINGS GROUP (CHINA) CO., LIMITED","公司註冊編號 1516027 有限公司"," 02-11-2011"
1202,"1529351","SONY (CHINA) ELECTRONICS LIMITED","索尼(中國)電子有限公司","Company Registration Number 1529351 Limited","公司註冊編號 1529351 有限公司"," 05-12-2011"
1203,"1542932","SONY ELECTRONICS (CHINA) TECHNOLOGY CO., LIMITED","索尼電子(中國)科技有限公司","Company Registration Number 1542932 Limited","公司註冊編號 1542932 有限公司"," 13-12-2011"
1204,"1527740","SONY SUOYI INTERNATIONAL ELECTRICIAN (HONG KONG) LIMITED","索尼索易國際電工(香港)有限公司","Company Registration Number 1527740 Limited","公司註冊編號 1527740 有限公司"," 22-12-2011"
1205,"1323896","SPAIN PHILIPS INTERNATIONAL ILLUMINATION LIMITED","西班牙飛利浦國際照明有限公司","Company Registration Number 1323896 Limited","公司註冊編號 1323896 有限公司"," 21-02-2012"
1206,"2075522","SPANISH XIMENG ELECTRIC (KAIGUAN) LIMITED","西班牙西蒙電氣(開關)有限公司","Company Registration Number 2075522 Limited","公司註冊編號 2075522 有限公司"," 29-07-2014"
1207,"2673592","SPECIAL FORCES BIOTECHNOLOGY CO., LIMITED","特種兵生物科技有限公司","Company Registration Number 2673592 Limited","公司註冊編號 2673592 有限公司"," 18-04-2019"
1208,"1316474","SPIDER KING (ITALY) INT'L GROUP LIMITED","蜘蛛王(意大利)國際集團有限公司","Company Registration Number 1316474 Limited","公司註冊編號 1316474 有限公司"," 14-08-2012"
1209,"1358959","SPIDER KING DRESS (SHENZHEN) LIMITED","蜘蛛王服飾(深圳)有限公司","Company Registration Number 1358959 Limited","公司註冊編號 1358959 有限公司"," 13-08-2012"
